COUNTRY,YEAR,TOTAL_BUDGET,BUDGET_RANK,PCT_DEFENSE,PCT_EDUCATION,PCT_HEALTH,PCT_SOCIAL_WELFARE,PCT_INFRASTRUCTURE
Vietnam,2001,7.191,44,7.55,18,8.2,9.19,18.37
Kazakhstan,2001,4.228,45,4.86,14.76,8.41,12.71,15.89
USA,1942,66.683,1,9.56,13.55,16.16,18.98,8.13
UK,1942,10.249,2,11.31,12.67,15.97,17.95,7.69
USA,1975,545.768,1,9.56,13.55,16.16,18.64,7.99
Germany,1975,192.685,2,4.24,9.53,15.94,23.93,10.26
Japan,1975,165.257,3,3.02,16.13,15.07,21.28,9.12
France,1975,145.497,4,5.77,11.51,5,25.45,10.91
Russia,1975,112.122,5,6.91,8.95,9.72,11.56,14.44
UK,1975,100.674,6,11.31,12.67,15.97,17.97,7.7
Canada,1975,86.413,7,15,5,14.82,21.06,9.03
Italy,1975,81.881,8,4.03,8.73,5,25.6,10.97
China,1975,54.017,9,13.21,9.56,6.09,9.92,19.84
Spain,1975,51.613,10,15,8.84,12.41,20.56,8.81
Brazil,1975,42.111,11,15,5,5,10.5,21
Netherlands,1975,41.52,12,4.93,12.07,12.28,23.81,10.21
Australia,1975,30.103,13,7.04,13.25,14.6,21.04,9.02
Sweden,1975,28.757,14,4,9.8,11.8,24.49,10.5
India,1975,19.432,15,14.78,13.32,3.05,8.65,17.31
Switzerland,1975,19.122,16,5.38,15.59,7.84,24.14,10.35
Iran,1975,17.784,17,14.48,18.35,10.95,10.69,13.37
Mexico,1975,16.995,18,1.72,12.15,9.9,9.91,19.82
Saudi Arabia,1975,14.872,19,35.44,14.71,9.16,7.69,9.61
Poland,1975,13.14,20,4.1,16.8,8.38,14.1,17.63
Argentina,1975,10.153,21,5.78,15.4,17.82,10.47,13.09
Turkey,1975,9.973,22,15,12.87,7.19,12.27,15.34
South Africa,1975,9.381,23,5.5,20.47,11.86,8.4,16.8
Romania,1975,9.046,24,11.82,14.73,5,13.05,16.31
Israel,1975,7.483,25,14.06,13.67,9.41,11.03,13.79
Greece,1975,6.178,26,10.81,8.38,9.61,22.84,9.79
Indonesia,1975,5.577,27,7.19,5.86,3.59,12.16,24.31
Portugal,1975,5.513,28,4.36,7.21,14.06,25.13,10.77
South Korea,1975,5.31,29,20.31,5,8.28,12.61,15.76
Egypt,1975,5.043,30,9.79,15.35,6.66,9.77,19.53
New Zealand,1975,4.638,31,4.59,8.19,14.71,22.74,9.74
United Arab Emirates,1975,4.402,32,19.16,13.57,7.57,11.94,14.93
Philippines,1975,3.636,33,12.48,15.24,6.52,3.96,7.91
Kazakhstan,1975,3.415,34,4.86,14.76,9.25,13.63,17.04
Nigeria,1975,3.333,35,2.23,8.55,2.37,12.28,24.56
Peru,1975,2.94,36,8.33,15.25,10.77,10.76,13.46
Colombia,1975,2.733,37,10.86,18.09,14.88,8.09,10.11
Bangladesh,1975,2.671,38,10.33,5.26,5.21,9.16,18.32
Thailand,1975,2.581,39,13.67,18.9,9.25,7.26,14.52
Chile,1975,2.541,40,14.85,13.52,10.96,9.76,12.2
Pakistan,1975,2.508,41,25.1,7.8,6.26,8.38,16.75
Ireland,1975,2.373,42,2.49,14.78,14.96,19.9,8.53
Malaysia,1975,2.293,43,7.8,19.11,4.58,8.13,16.26
Vietnam,1975,1.904,44,7.55,18,9.48,8.99,17.99
Singapore,1975,0.874,45,29.92,20.31,7.39,6.39,7.98
USA,1948,89.362,1,9.56,13.55,16.16,18.98,8.13
Russia,1948,30.032,2,6.91,8.95,9.72,11.56,14.44
Canada,1948,23.145,3,15,5,14.82,21.06,9.03
UK,1948,13.735,4,11.31,12.67,15.97,17.95,7.69
France,1948,12.543,5,5.77,11.51,5,25.45,10.91
Italy,1948,7.2,6,4.03,8.73,5,26.5,11.36
Japan,1948,6.894,7,3.02,16.13,15.07,21.28,9.12
Poland,1948,3.519,8,4.1,16.8,8.38,14.1,17.63
India,1948,3.514,9,14.78,13.32,3.05,8.63,17.26
Spain,1948,3.113,10,15,8.84,12.41,20.56,8.81
Brazil,1948,3.091,11,15,5,5,10.5,21
Sweden,1948,2.892,12,4,9.8,11.8,24.74,10.6
Australia,1948,2.721,13,7.04,13.25,14.6,21.04,9.02
Netherlands,1948,2.622,14,4.93,12.07,12.28,23.65,10.14
Romania,1948,2.423,15,11.82,14.73,5,13.05,16.31
Argentina,1948,1.711,16,5.78,15.4,17.82,10.47,13.09
Switzerland,1948,1.241,17,5.38,15.59,7.84,24.21,10.37
Mexico,1948,1.128,18,1.72,12.15,9.9,10.12,20.24
Egypt,1948,1.015,19,9.79,15.35,6.66,9.77,19.53
Turkey,1948,0.956,20,15,12.87,7.19,12.29,15.37
South Africa,1948,0.935,21,5.5,20.47,11.86,8.13,16.26
New Zealand,1948,0.917,22,4.59,8.19,14.71,22.2,9.52
Kazakhstan,1948,0.915,23,4.86,14.76,9.25,13.63,17.04
Philippines,1948,0.902,24,12.48,15.24,6.52,3.96,7.91
Chile,1948,0.898,25,14.85,13.52,10.96,11.53,14.41
Israel,1948,0.56,26,14.06,13.67,9.41,9.71,12.14
South Korea,1948,0.531,27,20.31,5,8.28,12.77,15.96
Portugal,1948,0.53,28,4.36,7.21,14.06,25.13,10.77
Vietnam,1948,0.51,29,7.55,18,9.48,8.99,17.99
Iran,1948,0.489,30,14.48,18.35,10.95,10.13,12.66
Greece,1948,0.47,31,10.81,8.38,9.61,22.9,9.81
Colombia,1948,0.468,32,10.86,18.09,14.88,8.09,10.11
Pakistan,1948,0.466,33,25.1,7.8,6.26,8.38,16.75
Bangladesh,1948,0.327,34,10.33,5.26,5.21,9.16,18.32
Indonesia,1948,0.323,35,7.19,5.86,3.59,11.97,23.94
Saudi Arabia,1948,0.31,36,35.44,14.71,9.16,7.69,9.61
Nigeria,1948,0.28,37,2.23,8.55,2.37,12.28,24.56
Thailand,1948,0.266,38,13.67,18.9,9.25,7.16,14.32
Malaysia,1948,0.263,39,7.8,19.11,4.58,8.13,16.26
Peru,1948,0.231,40,8.33,15.25,10.77,11.8,14.75
Ireland,1948,0.229,41,2.49,14.78,14.96,19.95,8.55
United Arab Emirates,1948,0.07,42,19.16,13.57,7.57,11.94,14.93
Singapore,1948,0.06,43,29.92,20.31,7.39,6.87,8.59
USA,2020,11307.006,1,8.18,12.16,22.3,17.95,7.69
China,2020,4948.817,2,4.9,11.91,8.65,10.43,20.86
Japan,2020,2890.765,3,2.28,9.97,21.95,21.28,9.12
Germany,2020,2032.716,4,2.65,10.79,19.31,23.2,9.94
France,2020,1652.762,5,3.28,9.17,5,27.14,11.63
UK,2020,1477.669,6,4.33,14.03,20.36,19.94,8.54
Italy,2020,1112.897,7,3.05,7.78,5,27.06,11.6
Canada,2020,776.417,8,15,5,18.36,19.82,8.5
Russia,2020,742.53,9,10.59,14.34,15.01,11.54,14.43
India,2020,716.552,10,8.76,15.99,3.69,7.25,14.5
Brazil,2020,598.602,11,15,5,5,10.5,21
Australia,2020,584.469,12,4.52,12.17,17.06,21.44,9.19
Spain,2020,580.403,13,15,9.43,15.15,19.4,8.31
South Korea,2020,418.577,14,11.17,5,13.01,13.43,16.79
Netherlands,2020,407.768,15,2.94,11.07,15.79,24.02,10.3
Mexico,2020,374.463,16,2.58,16.2,11.52,8.46,16.93
Turkey,2020,373.651,17,15,11.63,10.5,10.88,13.6
Saudi Arabia,2020,319.468,18,22.51,15.84,13.32,9.14,11.42
Switzerland,2020,286.719,19,2.09,14.27,11.18,25.12,10.77
Poland,2020,282.574,20,4.74,10.06,9.68,14.5,18.13
Sweden,2020,269.002,21,2.24,15.31,18.55,22.13,9.48
Indonesia,2020,224.458,22,4.81,9.32,10.24,9.71,19.42
Argentina,2020,186.912,23,1.73,12.42,16.46,12.38,15.47
South Africa,2020,158.694,24,2.76,19.66,16.89,7.39,14.78
Thailand,2020,158.231,25,5.78,15.43,12.15,9.36,18.72
Israel,2020,148.24,26,11.83,14.54,11.55,11.48,14.35
Greece,2020,134.411,27,5.1,6.39,8.54,26.12,11.19
Portugal,2020,122.837,28,2.9,9.9,13.76,23.45,10.05
Colombia,2020,106.737,29,10.54,13.15,18.45,9.69,12.11
Philippines,2020,103.673,30,5,16.89,9,8.74,17.48
Romania,2020,102.737,31,5.26,9.4,5,15.35,19.19
Egypt,2020,99.08,32,4.51,10.94,5.16,8.27,16.55
Singapore,2020,91.794,33,11.38,19.19,13.86,11.04,13.8
United Arab Emirates,2020,90.782,34,17.04,12.8,11.41,11.73,14.66
New Zealand,2020,88.868,35,3.18,13.62,16.58,22.37,9.59
Malaysia,2020,82.245,36,3.99,15.62,8.69,8.78,17.56
Chile,2020,80.213,37,7.1,19.35,18.84,10.25,12.81
Ireland,2020,78.714,38,0.98,11.97,20.3,21.97,9.42
Vietnam,2020,76.255,39,8.82,14.47,8.43,9.49,18.98
Nigeria,2020,71.83,40,5.23,5.13,4.18,12.07,24.14
Peru,2020,69.17,41,4.92,15.93,16.67,11.36,14.21
Iran,2020,55.616,42,14.45,22.67,19.03,8.63,10.78
Bangladesh,2020,53.289,43,9.35,15.03,2.67,7.56,15.11
Pakistan,2020,43.4,44,17.18,10.8,5.12,9.29,18.57
Kazakhstan,2020,40.51,45,3.7,18,10.06,12.37,15.46
USA,1991,2344.461,1,9.56,13.55,16.16,15.82,6.78
Japan,1991,1328.286,2,3.07,11.11,15.07,23.01,9.86
Germany,1991,931.952,3,4.24,9.53,15.94,22.79,9.77
Italy,1991,636.617,4,3.18,8.73,5,21.67,9.29
France,1991,612.733,5,5.4,9.81,5,26.18,11.22
UK,1991,453.657,6,10.53,10.8,15.97,19.4,8.32
Spain,1991,259.539,7,15,10.03,12.41,20.15,8.63
Russia,1991,197.375,8,6.91,8.95,9.72,11.56,14.44
Canada,1991,188.628,9,15,5,14.82,21.06,9.03
Netherlands,1991,152.209,10,4.42,11.07,12.28,22.17,9.5
Sweden,1991,142.103,11,3.54,8.38,11.8,23.18,9.93
China,1991,126.888,12,14.25,12.29,6.09,9.35,18.71
Brazil,1991,111.642,13,15,5,5,10.5,21
Australia,1991,109.814,14,6.55,14.07,14.6,20.92,8.97
South Korea,1991,81.804,15,20.31,5,8.28,12.5,15.63
India,1991,80.848,16,10.86,13.32,3.05,7.23,14.46
Switzerland,1991,78.218,17,5.07,17.17,7.84,23.25,9.96
Mexico,1991,66.392,18,1.97,12.15,9.9,6.41,12.83
Greece,1991,55.821,19,8.62,6.29,9.61,19.42,8.32
Turkey,1991,44.229,20,15,12.87,7.19,9.92,12.4
Saudi Arabia,1991,42.042,21,35.44,14.71,9.16,7.69,9.61
South Africa,1991,41.839,22,5.5,20.47,11.86,7,14
Argentina,1991,39.865,23,5.78,15.4,17.82,9.99,12.49
Portugal,1991,37.234,24,3.88,11.02,14.06,18.44,7.9
Poland,1991,35.4,25,4.1,16.8,8.38,12.22,15.27
Israel,1991,18.557,26,14.06,13.67,9.41,8.93,11.16
Indonesia,1991,18.075,27,7.19,5.86,3.59,9.83,19.65
Iran,1991,17.523,28,12.49,18.35,10.95,11.63,14.54
Thailand,1991,15.862,29,13.67,18.9,9.25,6.91,13.83
New Zealand,1991,15.479,30,4.3,14.08,14.71,21.23,9.1
United Arab Emirates,1991,15.415,31,19.16,13.57,7.57,11.94,14.93
Ireland,1991,13.281,32,2.79,11.42,14.96,17.94,7.69
Malaysia,1991,12.118,33,10.72,19.11,4.58,7.69,15.38
Philippines,1991,10.642,34,9.77,15.24,6.52,4.64,9.28
Colombia,1991,10.26,35,8.98,12.48,14.88,9.59,11.99
Pakistan,1991,10.19,36,25.1,7.8,6.26,8.38,16.75
Romania,1991,10.178,37,12.38,14.73,5,13.55,16.94
Egypt,1991,8.72,38,9.79,15.35,6.66,7.36,14.72
Singapore,1991,8.3,39,27.51,20.31,7.39,5.21,6.52
Chile,1991,7.8,40,12.82,13.52,10.96,10.23,12.79
Nigeria,1991,7.143,41,2.11,8.55,2.37,12.3,24.59
Kazakhstan,1991,6.571,42,4.86,14.76,9.25,13.63,17.04
Peru,1991,6.386,43,8.33,15.25,10.77,7.79,9.73
Bangladesh,1991,4.251,44,10.43,11.06,5.21,8.28,16.55
Vietnam,1991,2.115,45,7.55,18,9.48,8.99,17.99
USA,1988,1832.048,1,9.56,13.55,16.16,15.91,6.82
Japan,1988,1084.478,2,3.02,17.8,15.07,20.69,8.87
Germany,1988,574.204,3,4.24,9.53,15.94,22.77,9.76
France,1988,486.173,4,5.77,9.38,5,26.2,11.23
Italy,1988,438.316,5,4.03,8.73,5,22.6,9.68
UK,1988,321.701,6,11.31,10.73,15.97,17.74,7.6
Russia,1988,211.423,7,6.91,8.95,9.72,11.56,14.44
Spain,1988,169.151,8,15,9.64,12.41,20.28,8.69
Canada,1988,162.944,9,15,5,14.82,21.06,9.03
Netherlands,1988,127.488,10,4.93,10.56,12.28,22.21,9.52
China,1988,103.253,11,13.21,10.74,6.09,9.74,19.49
Sweden,1988,101.127,12,4,8.29,11.8,22.3,9.56
Brazil,1988,100.348,13,15,5,5,10.5,21
India,1988,89.82,14,14.78,13.32,3.05,7.32,14.65
Australia,1988,83.098,15,7.04,13.25,14.6,21.04,9.02
Mexico,1988,66.539,16,1.72,12.15,9.9,2.1,4.21
Switzerland,1988,58.325,17,5.38,16.16,7.84,23.49,10.07
South Korea,1988,49.315,18,20.31,5,8.28,11.98,14.98
South Africa,1988,33.15,19,5.5,20.47,11.86,7.29,14.57
Greece,1988,31.478,20,10.81,6.78,9.61,19.87,8.52
Saudi Arabia,1988,28.062,21,35.44,14.71,9.16,7.69,9.61
Poland,1988,24.777,22,4.1,16.8,8.38,14.04,17.55
Argentina,1988,24.568,23,5.78,15.4,17.82,10.47,13.09
Iran,1988,22.764,24,14.48,18.35,10.95,11.22,14.03
New Zealand,1988,20.319,25,4.59,9.7,14.71,19.14,8.2
Portugal,1988,20.169,26,4.36,9,14.06,18.67,8
Turkey,1988,19.98,27,15,12.87,7.19,9.38,11.72
Israel,1988,18.739,28,14.06,13.67,9.41,8.52,10.65
Romania,1988,15.865,29,11.82,14.73,5,13.45,16.81
Indonesia,1988,13.062,30,7.19,5.86,3.59,8.37,16.73
Thailand,1988,11.189,31,13.67,18.9,9.25,5.78,11.56
Ireland,1988,11.148,32,2.49,10.54,14.96,18.59,7.97
United Arab Emirates,1988,10.847,33,19.16,13.57,7.57,11.94,14.93
Egypt,1988,9.604,34,9.79,15.35,6.66,8.39,16.78
Philippines,1988,9.298,35,12.48,15.24,6.52,3.96,7.91
Malaysia,1988,8.698,36,7.8,19.11,4.58,8.13,16.26
Pakistan,1988,8.593,37,25.1,7.8,6.26,8.38,16.75
Colombia,1988,8.181,38,10.86,17.23,14.88,8.26,10.33
Kazakhstan,1988,6.44,39,4.86,14.76,9.25,13.63,17.04
Chile,1988,6.032,40,14.85,13.52,10.96,9.88,12.35
Nigeria,1988,5.958,41,2.23,8.55,2.37,12.28,24.56
Vietnam,1988,5.593,42,7.55,18,9.48,8.99,17.99
Singapore,1988,4.917,43,29.92,20.31,7.39,5.68,7.1
Bangladesh,1988,3.65,44,10.33,11.19,5.21,8.27,16.54
Peru,1988,2.604,45,8.33,15.25,10.77,7.99,9.99
USA,1947,85.107,1,9.56,13.55,16.16,18.98,8.13
Russia,1947,28.602,2,6.91,8.95,9.72,11.56,14.44
Canada,1947,22.043,3,15,5,14.82,21.06,9.03
UK,1947,13.081,4,11.31,12.67,15.97,17.95,7.69
France,1947,11.946,5,5.77,11.51,5,25.45,10.91
Italy,1947,6.858,6,4.03,8.73,5,26.5,11.36
Japan,1947,6.566,7,3.02,16.13,15.07,21.28,9.12
Poland,1947,3.352,8,4.1,16.8,8.38,14.1,17.63
India,1947,3.346,9,14.78,13.32,3.05,8.63,17.26
Spain,1947,2.965,10,15,8.84,12.41,20.56,8.81
Brazil,1947,2.944,11,15,5,5,10.5,21
Sweden,1947,2.754,12,4,9.8,11.8,24.74,10.6
Australia,1947,2.592,13,7.04,13.25,14.6,21.04,9.02
Netherlands,1947,2.497,14,4.93,12.07,12.28,23.65,10.14
Romania,1947,2.308,15,11.82,14.73,5,13.05,16.31
Argentina,1947,1.629,16,5.78,15.4,17.82,10.47,13.09
Switzerland,1947,1.182,17,5.38,15.59,7.84,24.21,10.37
Mexico,1947,1.074,18,1.72,12.15,9.9,10.12,20.24
Egypt,1947,0.967,19,9.79,15.35,6.66,9.77,19.53
Turkey,1947,0.911,20,15,12.87,7.19,12.29,15.37
South Africa,1947,0.89,21,5.5,20.47,11.86,8.13,16.26
New Zealand,1947,0.873,22,4.59,8.19,14.71,22.2,9.52
Kazakhstan,1947,0.871,23,4.86,14.76,9.25,13.63,17.04
Philippines,1947,0.859,24,12.48,15.24,6.52,3.96,7.91
Chile,1947,0.856,25,14.85,13.52,10.96,11.53,14.41
Israel,1947,0.534,26,14.06,13.67,9.41,9.71,12.14
Portugal,1947,0.505,27,4.36,7.21,14.06,25.13,10.77
Vietnam,1947,0.486,28,7.55,18,9.48,8.99,17.99
Iran,1947,0.466,29,14.48,18.35,10.95,10.13,12.66
Greece,1947,0.448,30,10.81,8.38,9.61,22.9,9.81
Colombia,1947,0.446,31,10.86,18.09,14.88,8.09,10.11
Pakistan,1947,0.444,32,25.1,7.8,6.26,8.38,16.75
Bangladesh,1947,0.311,33,10.33,5.26,5.21,9.16,18.32
Indonesia,1947,0.307,34,7.19,5.86,3.59,11.97,23.94
Saudi Arabia,1947,0.295,35,35.44,14.71,9.16,7.69,9.61
Nigeria,1947,0.267,36,2.23,8.55,2.37,12.28,24.56
Thailand,1947,0.253,37,13.67,18.9,9.25,7.16,14.32
Malaysia,1947,0.251,38,7.8,19.11,4.58,8.13,16.26
Peru,1947,0.22,39,8.33,15.25,10.77,11.8,14.75
Ireland,1947,0.218,40,2.49,14.78,14.96,19.95,8.55
United Arab Emirates,1947,0.067,41,19.16,13.57,7.57,11.94,14.93
Singapore,1947,0.057,42,29.92,20.31,7.39,6.87,8.59
USA,1943,70.017,1,9.56,13.55,16.16,18.98,8.13
UK,1943,10.761,2,11.31,12.67,15.97,17.95,7.69
USA,1954,119.753,1,9.56,13.55,16.16,18.98,8.13
Russia,1954,40.245,2,6.91,8.95,9.72,11.56,14.44
Canada,1954,31.017,3,15,5,14.82,21.06,9.03
Germany,1954,20.354,4,4.24,9.53,15.94,24.05,10.31
UK,1954,18.406,5,11.31,12.67,15.97,17.95,7.69
France,1954,16.809,6,5.77,11.51,5,25.45,10.91
China,1954,14.737,7,13.21,9.56,6.09,9.92,19.84
Italy,1954,9.649,8,4.03,8.73,5,26.5,11.36
Japan,1954,9.239,9,3.02,16.13,15.07,21.28,9.12
Poland,1954,4.716,10,4.1,16.8,8.38,14.1,17.63
India,1954,4.709,11,14.78,13.32,3.05,8.63,17.26
Spain,1954,4.172,12,15,8.84,12.41,20.56,8.81
Brazil,1954,4.142,13,15,5,5,10.5,21
Sweden,1954,3.875,14,4,9.8,11.8,24.74,10.6
Australia,1954,3.647,15,7.04,13.25,14.6,21.04,9.02
Netherlands,1954,3.513,16,4.93,12.07,12.28,23.65,10.14
Romania,1954,3.247,17,11.82,14.73,5,13.05,16.31
Argentina,1954,2.292,18,5.78,15.4,17.82,10.47,13.09
Switzerland,1954,1.663,19,5.38,15.59,7.84,24.21,10.37
Mexico,1954,1.511,20,1.72,12.15,9.9,10.12,20.24
Egypt,1954,1.361,21,9.79,15.35,6.66,9.77,19.53
Turkey,1954,1.282,22,15,12.87,7.19,12.29,15.37
South Africa,1954,1.253,23,5.5,20.47,11.86,8.13,16.26
New Zealand,1954,1.229,24,4.59,8.19,14.71,22.2,9.52
Kazakhstan,1954,1.226,25,4.86,14.76,9.25,13.63,17.04
Philippines,1954,1.209,26,12.48,15.24,6.52,3.96,7.91
Chile,1954,1.204,27,14.85,13.52,10.96,11.53,14.41
Israel,1954,0.751,28,14.06,13.67,9.41,9.71,12.14
South Korea,1954,0.712,29,20.31,5,8.28,12.77,15.96
Portugal,1954,0.71,30,4.36,7.21,14.06,25.13,10.77
Vietnam,1954,0.683,31,7.55,18,9.48,8.99,17.99
Iran,1954,0.656,32,14.48,18.35,10.95,10.13,12.66
Greece,1954,0.63,33,10.81,8.38,9.61,22.9,9.81
Colombia,1954,0.628,34,10.86,18.09,14.88,8.09,10.11
Pakistan,1954,0.625,35,25.1,7.8,6.26,8.38,16.75
Bangladesh,1954,0.438,36,10.33,5.26,5.21,9.16,18.32
Indonesia,1954,0.432,37,7.19,5.86,3.59,11.97,23.94
Saudi Arabia,1954,0.415,38,35.44,14.71,9.16,7.69,9.61
Nigeria,1954,0.376,39,2.23,8.55,2.37,12.28,24.56
Thailand,1954,0.356,40,13.67,18.9,9.25,7.16,14.32
Malaysia,1954,0.353,41,7.8,19.11,4.58,8.13,16.26
Peru,1954,0.31,42,8.33,15.25,10.77,11.8,14.75
Ireland,1954,0.307,43,2.49,14.78,14.96,19.95,8.55
United Arab Emirates,1954,0.094,44,19.16,13.57,7.57,11.94,14.93
Singapore,1954,0.081,45,29.92,20.31,7.39,6.87,8.59
USA,1968,278.398,1,9.56,13.55,16.16,18.98,8.13
Russia,1968,79.683,2,6.91,8.95,9.72,11.56,14.44
Canada,1968,61.412,3,15,5,14.82,21.06,9.03
Germany,1968,50.456,4,4.24,9.53,15.94,24.05,10.31
France,1968,46.793,5,5.77,11.51,5,25.45,10.91
Japan,1968,40.964,6,3.02,16.13,15.07,21.28,9.12
UK,1968,36.294,7,11.31,12.67,15.97,17.95,7.69
Italy,1968,28.158,8,4.03,8.73,5,26.5,11.36
China,1968,23.424,9,13.21,9.56,6.09,9.92,19.84
Spain,1968,14.577,10,15,8.84,12.41,20.56,8.81
Brazil,1968,11.059,11,15,5,5,10.5,21
Netherlands,1968,10.668,12,4.93,12.07,12.28,23.65,10.14
Sweden,1968,10.196,13,4,9.8,11.8,24.74,10.6
Poland,1968,9.338,14,4.1,16.8,8.38,14.1,17.63
India,1968,9.046,15,14.78,13.32,3.05,8.63,17.26
Australia,1968,8.592,16,7.04,13.25,14.6,21.04,9.02
Romania,1968,6.429,17,11.82,14.73,5,13.05,16.31
Argentina,1968,5.119,18,5.78,15.4,17.82,10.47,13.09
Mexico,1968,4.56,19,1.72,12.15,9.9,10.12,20.24
Switzerland,1968,4.433,20,5.38,15.59,7.84,24.21,10.37
Turkey,1968,3.972,21,15,12.87,7.19,12.29,15.37
South Africa,1968,3.286,22,5.5,20.47,11.86,8.13,16.26
Chile,1968,2.792,23,14.85,13.52,10.96,11.53,14.41
Egypt,1968,2.572,24,9.79,15.35,6.66,9.77,19.53
Kazakhstan,1968,2.427,25,4.86,14.76,9.25,13.63,17.04
Greece,1968,1.964,26,10.81,8.38,9.61,22.9,9.81
Portugal,1968,1.893,27,4.36,7.21,14.06,25.13,10.77
Philippines,1968,1.86,28,12.48,15.24,6.52,3.96,7.91
Iran,1968,1.805,29,14.48,18.35,10.95,10.13,12.66
Pakistan,1968,1.796,30,25.1,7.8,6.26,8.38,16.75
Israel,1968,1.789,31,14.06,13.67,9.41,9.71,12.14
New Zealand,1968,1.555,32,4.59,8.19,14.71,22.2,9.52
South Korea,1968,1.48,33,20.31,5,8.28,12.77,15.96
Vietnam,1968,1.353,34,7.55,18,9.48,8.99,17.99
Saudi Arabia,1968,1.332,35,35.44,14.71,9.16,7.69,9.61
Colombia,1968,1.243,36,10.86,18.09,14.88,8.09,10.11
Thailand,1968,1.051,37,13.67,18.9,9.25,7.16,14.32
Bangladesh,1968,1.028,38,10.33,5.26,5.21,9.16,18.32
Indonesia,1968,1.018,39,7.19,5.86,3.59,11.97,23.94
Peru,1968,0.926,40,8.33,15.25,10.77,11.8,14.75
Malaysia,1968,0.821,41,7.8,19.11,4.58,8.13,16.26
Ireland,1968,0.696,42,2.49,14.78,14.96,19.95,8.55
Nigeria,1968,0.624,43,2.23,8.55,2.37,12.28,24.56
Singapore,1968,0.218,44,29.92,20.31,7.39,6.87,8.59
United Arab Emirates,1968,0.186,45,19.16,13.57,7.57,11.94,14.93
USA,2016,7012.661,1,9.63,13.17,22.49,16.28,6.98
China,2016,3780.488,2,5.48,11.91,8.95,10.3,20.6
Japan,2016,2026.046,3,2.5,9.97,23.18,20.78,8.9
Germany,2016,1553.096,4,2.52,10.65,19.08,22.88,9.8
France,2016,1428.796,5,3.23,9.48,5,27.05,11.59
UK,2016,1143.343,6,5.01,13.43,19.96,19.18,8.22
Italy,2016,944.796,7,2.71,7.75,5,26.44,11.33
Brazil,2016,696.773,8,15,5,5,10.5,21
India,2016,683.876,9,9.08,15.72,3.39,7.71,15.43
Canada,2016,638.76,10,15,5,18.96,19.61,8.41
Spain,2016,559.357,11,15,9.95,15.1,19.23,8.24
Russia,2016,558.133,12,14.83,10.99,8.23,12.69,15.86
Australia,2016,473.571,13,5.61,12.17,18.54,20.54,8.8
Turkey,2016,405.796,14,15,13.69,9.94,11.08,13.85
South Korea,2016,378.996,15,12.62,5,12.7,12.98,16.22
Mexico,2016,348.058,16,1.81,17.94,10.41,8.82,17.64
Netherlands,2016,319.554,17,2.61,12.27,14.88,23.6,10.11
Argentina,2016,273.703,18,1.95,13.36,15.84,11.49,14.37
Saudi Arabia,2016,241.639,19,27.75,15.84,12.61,8.62,10.77
Sweden,2016,233.061,20,2.16,15.46,18.28,21.97,9.42
Switzerland,2016,228.647,21,2.05,15.36,11.18,24.48,10.49
Indonesia,2016,197.503,22,4.68,11.32,8.13,9.75,19.49
Poland,2016,189.548,23,4.72,11.27,10.95,13.69,17.11
South Africa,2016,129.266,24,3.25,18.05,15.29,7.98,15.96
Greece,2016,114.107,25,5.12,7.14,8.81,25.2,10.8
Thailand,2016,112.57,26,6.4,19.8,13.58,8.4,16.8
Portugal,2016,102.415,27,3.44,11.05,12.9,21.92,9.39
Israel,2016,95.836,28,14.33,15.35,11.65,10.53,13.16
Iran,2016,94.751,29,15.41,19.45,24.22,8.04,10.05
Colombia,2016,87.427,30,10.24,13.15,17.66,9.67,12.08
Egypt,2016,85.818,31,5.09,10.94,5.06,8.2,16.4
United Arab Emirates,2016,78.76,32,17.04,13.57,9.07,12.06,15.08
Malaysia,2016,66.634,33,6.06,20.79,8.26,7.84,15.68
New Zealand,2016,66.621,34,2.84,15.37,17.91,20.86,8.94
Chile,2016,66.383,35,7.59,21.16,16.75,10.21,12.77
Romania,2016,64.046,36,4.49,9.51,5,15.4,19.25
Philippines,2016,62.72,37,5.5,16.64,7.75,8.24,16.48
Vietnam,2016,56.561,38,8.77,15.6,9.6,9.15,18.31
Ireland,2016,56.487,39,1.19,13.31,19.26,20.1,8.61
Nigeria,2016,48.558,40,4.44,6.65,4.87,11.86,23.71
Singapore,2016,47.053,41,19.81,17.55,13.31,9.87,12.33
Peru,2016,46.998,42,6.22,17.94,14.63,11.13,13.92
Pakistan,2016,45.308,43,18.09,15.06,3.96,8.68,17.37
Bangladesh,2016,36.468,44,10.57,11.05,4.1,8.1,16.21
Kazakhstan,2016,31.536,45,4.34,13.84,9.48,13.1,16.38
USA,2008,5599.256,1,11.97,13.55,18.2,16.65,7.14
Japan,2008,1888.73,2,2.66,9.97,18.1,22.49,9.64
Germany,2008,1698.574,3,2.68,10.07,17.09,22.52,9.65
France,2008,1590.247,4,3.5,9.48,5,26.96,11.55
China,2008,1540.224,5,7.65,11.91,7.71,10.16,20.32
UK,2008,1377.993,6,6.08,12.7,17.93,20.22,8.67
Italy,2008,1136.235,7,3.2,9.16,5,24.91,10.67
Spain,2008,736.252,8,15,10.93,14.82,18.99,8.14
Brazil,2008,552.731,9,15,5,5,10.5,21
Russia,2008,503.822,10,9.86,11.96,9.59,13.37,16.71
Canada,2008,432.338,11,15,5,17.28,20.2,8.66
India,2008,403.038,12,8.89,11.19,2.8,8.61,17.22
